device,loop,zone,description,subtype,type,name,locationId
64,37,1323,IRD-IT4-L51-EFS-03 SPRINK,a03,SPRINK,L37 - D64 - Z1323 - IRD-IT4-L51-EFS-03 SPRINK - SPRINK,IRD-IT4-L51-EFS-03
70,37,2055,FPS-BMV-T4-L41-Z5-10-11-12,a03,HYD,L37 - D70 - Z2055 - FPS-BMV-T4-L41-Z5-10-11-12 - HYD,
71,37,2051,FPS-BMV-T4-L39-Z4-09,a03,HYD,L37 - D71 - Z2051 - FPS-BMV-T4-L39-Z4-09 - HYD,
1,38,3049,SS-DCP-IT4-L52-01,a03,MECH,L38 - D1 - Z3049 - SS-DCP-IT4-L52-01 - MECH,
2,38,3049,SS-DCP-IT4-L53-01,a03,MECH,L38 - D2 - Z3049 - SS-DCP-IT4-L53-01 - MECH,
3,38,3049,SS-DCP-IT4-L54-01,a03,MECH,L38 - D3 - Z3049 - SS-DCP-IT4-L54-01 - MECH,
4,38,3049,SS-DCP-IT4-L55-01,a03,MECH,L38 - D4 - Z3049 - SS-DCP-IT4-L55-01 - MECH,
5,38,3049,SS-DCP-IT4-L56-01,a03,MECH,L38 - D5 - Z3049 - SS-DCP-IT4-L56-01 - MECH,
6,38,3049,SS-DCP-IT4-L57-01,a03,MECH,L38 - D6 - Z3049 - SS-DCP-IT4-L57-01 - MECH,
7,38,3049,SS-DCP-IT4-L58-01,a03,MECH,L38 - D7 - Z3049 - SS-DCP-IT4-L58-01 - MECH,
8,38,3049,SS-DCP-IT4-L59-01,a03,MECH,L38 - D8 - Z3049 - SS-DCP-IT4-L59-01 - MECH,
9,38,3049,SS-DCP-IT4-L60-01,a03,MECH,L38 - D9 - Z3049 - SS-DCP-IT4-L60-01 - MECH,
10,38,3049,SS-DCP-IT4-L61-01,a03,MECH,L38 - D10 - Z3049 - SS-DCP-IT4-L61-01 - MECH,
11,38,3049,SS-DCP-IT4-L62-01,a03,MECH,L38 - D11 - Z3049 - SS-DCP-IT4-L62-01 - MECH,
12,38,3049,SS-DCP-IT4-L63-01,a03,MECH,L38 - D12 - Z3049 - SS-DCP-IT4-L63-01 - MECH,
13,38,3049,SS-DCP-IT4-L64-01,a03,MECH,L38 - D13 - Z3049 - SS-DCP-IT4-L64-01 - MECH,
14,38,3049,SS-DCP-IT4-L64M-01,a03,MECH,L38 - D14 - Z3049 - SS-DCP-IT4-L64M-01 - MECH,
20,38,3049,MSSB-IT4-64M-01-2,a03,MECH,L38 - D20 - Z3049 - MSSB-IT4-64M-01-2 - MECH,
21,38,3049,SS-MSSB-IT4-64M-01,a03,MECH,L38 - D21 - Z3049 - SS-MSSB-IT4-64M-01 - MECH,
22,38,3049,SS-MSSB-IT4-64M-01,a03,MECH,L38 - D22 - Z3049 - SS-MSSB-IT4-64M-01 - MECH,
23,38,3049,SS-MSSB-IT4-64M-01,a03,MECH,L38 - D23 - Z3049 - SS-MSSB-IT4-64M-01 - MECH,
24,38,3049,SS-MSSB-IT4-64M-01,a03,MECH,L38 - D24 - Z3049 - SS-MSSB-IT4-64M-01 - MECH,
25,38,3049,SS-MSSB-IT4-64M-01,a03,MECH,L38 - D25 - Z3049 - SS-MSSB-IT4-64M-01 - MECH,
26,38,3049,SS-MSSB-IT4-64M-01,a03,MECH,L38 - D26 - Z3049 - SS-MSSB-IT4-64M-01 - MECH,
27,38,3049,SS-MSSB-IT4-64M-01,a03,MECH,L38 - D27 - Z3049 - SS-MSSB-IT4-64M-01 - MECH,
28,38,3049,SS-MSSB-IT4-64M-01,a03,MECH,L38 - D28 - Z3049 - SS-MSSB-IT4-64M-01 - MECH,
29,38,3049,SS-MSSB-IT4-64M-01,a03,MECH,L38 - D29 - Z3049 - SS-MSSB-IT4-64M-01 - MECH,
30,38,3049,SS-MSSB-IT4-64M-01,a03,MECH,L38 - D30 - Z3049 - SS-MSSB-IT4-64M-01 - MECH,
31,38,3049,SS-MSSB-IT4-64M-01,a03,MECH,L38 - D31 - Z3049 - SS-MSSB-IT4-64M-01 - MECH,
32,38,3049,SS-MSSB-IT4-64M-01,a03,MECH,L38 - D32 - Z3049 - SS-MSSB-IT4-64M-01 - MECH,
33,38,3049,SS-MSSB-IT4-64M-01,a03,MECH,L38 - D33 - Z3049 - SS-MSSB-IT4-64M-01 - MECH,
34,38,3049,SS-MSSB-IT4-64M-01,a03,MECH,L38 - D34 - Z3049 - SS-MSSB-IT4-64M-01 - MECH,
35,38,3049,SS-MSSB-IT4-64M-01,a03,MECH,L38 - D35 - Z3049 - SS-MSSB-IT4-64M-01 - MECH,
36,38,3049,SS-MSSB-IT4-64M-01,a03,MECH,L38 - D36 - Z3049 - SS-MSSB-IT4-64M-01 - MECH,
37,38,3049,SS-MSSB-IT4-64M-01,a03,MECH,L38 - D37 - Z3049 - SS-MSSB-IT4-64M-01 - MECH,
50,38,1324,IRD-IT4-L52-EFS-03 SPRINK,a03,SPRINK,L38 - D50 - Z1324 - IRD-IT4-L52-EFS-03 SPRINK - SPRINK,IRD-IT4-L52-EFS-03
51,38,1325,IRD-IT4-L53-EFS-03 SPRINK,a03,SPRINK,L38 - D51 - Z1325 - IRD-IT4-L53-EFS-03 SPRINK - SPRINK,IRD-IT4-L53-EFS-03
52,38,1326,IRD-IT4-L54-EFS-03 SPRINK,a03,SPRINK,L38 - D52 - Z1326 - IRD-IT4-L54-EFS-03 SPRINK - SPRINK,IRD-IT4-L54-EFS-03
53,38,1327,IRD-IT4-L55-EFS-03 SPRINK,a03,SPRINK,L38 - D53 - Z1327 - IRD-IT4-L55-EFS-03 SPRINK - SPRINK,IRD-IT4-L55-EFS-03
54,38,1328,IRD-IT4-L56-EFS-03 SPRINK,a03,SPRINK,L38 - D54 - Z1328 - IRD-IT4-L56-EFS-03 SPRINK - SPRINK,IRD-IT4-L56-EFS-03
55,38,1329,IRD-IT4-L57-EFS-03 SPRINK,a03,SPRINK,L38 - D55 - Z1329 - IRD-IT4-L57-EFS-03 SPRINK - SPRINK,IRD-IT4-L57-EFS-03
56,38,1330,IRD-IT4-L58-EFS-03 SPRINK,a03,SPRINK,L38 - D56 - Z1330 - IRD-IT4-L58-EFS-03 SPRINK - SPRINK,IRD-IT4-L58-EFS-03
57,38,1331,IRD-IT4-L59-EFS-03 SPRINK,a03,SPRINK,L38 - D57 - Z1331 - IRD-IT4-L59-EFS-03 SPRINK - SPRINK,IRD-IT4-L59-EFS-03
58,38,1332,IRD-IT4-L60-EFS-03 SPRINK,a03,SPRINK,L38 - D58 - Z1332 - IRD-IT4-L60-EFS-03 SPRINK - SPRINK,IRD-IT4-L60-EFS-03
59,38,1333,IRD-IT4-L61-EFS-03 SPRINK,a03,SPRINK,L38 - D59 - Z1333 - IRD-IT4-L61-EFS-03 SPRINK - SPRINK,IRD-IT4-L61-EFS-03
60,38,1334,IRD-IT4-L62-EFS-03 SPRINK,a03,SPRINK,L38 - D60 - Z1334 - IRD-IT4-L62-EFS-03 SPRINK - SPRINK,IRD-IT4-L62-EFS-03
61,38,1335,IRD-IT4-L63-EFS-03 SPRINK,a03,SPRINK,L38 - D61 - Z1335 - IRD-IT4-L63-EFS-03 SPRINK - SPRINK,IRD-IT4-L63-EFS-03
62,38,1336,IRD-IT4-L64-EFS-03 SPRINK,a03,SPRINK,L38 - D62 - Z1336 - IRD-IT4-L64-EFS-03 SPRINK - SPRINK,IRD-IT4-L64-EFS-03
63,38,1337,IRD-IT4-L64M-EFS-03 SPRINK,a03,SPRINK,L38 - D63 - Z1337 - IRD-IT4-L64M-EFS-03 SPRINK - SPRINK,IRD-IT4-L64M-EFS-03
64,38,1338,IRD-IT4-L65-EFS-03 SPRINK,a03,SPRINK,L38 - D64 - Z1338 - IRD-IT4-L65-EFS-03 SPRINK - SPRINK,IRD-IT4-L65-EFS-03
65,38,2079,FPS-BMV-T4-L64M-Z6-01,a03,HYD,L38 - D65 - Z2079 - FPS-BMV-T4-L64M-Z6-01 - HYD,
